"","business_id","name","longitude","latitude","city","review_count","category","averageSentimentScore","averageRating"
"1","-24unjUhdfbFW43xD8l-aA","Bikram Yoga Chandler",-111.875,33.2767,"Chandler",12,"Fitness & Instruction",1.75,4.5
"2","-25FveJPYkjFxVJhu75F3w","Independence Gym",-111.91,33.4819,"Scottsdale",32,"Fitness & Instruction",2.93333333333333,4.33333333333333
"3","-34jE_5dujSWMIOBudQsiQ","Dairiki Tami, MD",-111.882,33.6372,"Scottsdale",5,"Doctors",8.5,5
"4","-3xbryp44xhpN4BohxXDdQ","The Keg Steakhouse + Bar",-111.976,33.6753,"Phoenix",143,"Bars",3.71031746031746,3.91269841269841
"5","-3xbryp44xhpN4BohxXDdQ","The Keg Steakhouse + Bar",-111.976,33.6753,"Phoenix",143,"Nightlife",4.49206349206349,3.91269841269841
"6","-4QayefhaPXm6wPp-Zpb0A","Premier Inn",-112.239,33.4642,"Tolleson",8,"Hotels",3.75,3.5
"7","-5IgAihccTd8_iENVgpd9A","Comfort Suites Peoria Sports Complex",-112.237,33.6369,"Peoria",5,"Hotels",6,3.5
"8","-5XAZC1hC6G0NDkmPyhmUg","Fry's Food & Drug Stores & Fry's Marketplace",-111.757,33.3374,"Gilbert",8,"Grocery",6.75,3
"9","-63VfA2tnYyzwRt81B1AKw","Days Hotel Mesa Country Club",-111.839,33.3819,"Mesa",18,"Hotels",3.6875,4
"10","-6O53B-ksqSKzWM6Y9moEQ","Mesquite Grill and Sports Bar",-111.832,33.3783,"Gilbert",16,"Nightlife",3.53333333333333,3.6
"11","-6O53B-ksqSKzWM6Y9moEQ","Mesquite Grill and Sports Bar",-111.832,33.3783,"Gilbert",16,"Bars",4.36666666666667,3.6
"12","-9meXYVIw8yFg_yMG5RvCw","Super 8 Motel - Chandler / Phoenix",-111.966,33.3052,"Chandler",11,"Hotels",5.3,2.8
"13","-9pVS__IliMA2aNEYzrQrg","American Junkie",-111.92,33.5002,"Scottsdale",141,"Bars",6.18965517241379,2.98275862068966
"14","-9pVS__IliMA2aNEYzrQrg","American Junkie",-111.92,33.5002,"Scottsdale",141,"Nightlife",4.20689655172414,2.98275862068966
"15","-A5CFmkgdMEggaihtyxX4Q","nextDOOR",-112.068,33.4579,"Phoenix",12,"Bars",4.25,3.25
"16","-A5CFmkgdMEggaihtyxX4Q","nextDOOR",-112.068,33.4579,"Phoenix",12,"Nightlife",2.125,3.25
"17","-A5CFmkgdMEggaihtyxX4Q","nextDOOR",-112.068,33.4579,"Phoenix",12,"Dance Clubs",2,3.25
"18","-B55j4VAqKcxCQz2T1obJA","Gilbert Pediatrics",-111.737,33.3808,"Mesa",13,"Doctors",3,3
"19","-Bb1Xwd677TBSIPjw4x7oA","Walmart Supercenter",-111.865,33.4321,"Mesa",46,"Grocery",3.94444444444444,2.5
"20","-DGbZCnfEiHUy-ksKeJ72Q","Starters Sports Bar and Grill",-111.91,33.4133,"Tempe",21,"Bars",5.09090909090909,3.27272727272727
"21","-DGbZCnfEiHUy-ksKeJ72Q","Starters Sports Bar and Grill",-111.91,33.4133,"Tempe",21,"Nightlife",2.09090909090909,3.27272727272727
"22","-EctXOb3B7T177jGYUhjVA","Boulders On Broadway",-111.948,33.4076,"Tempe",256,"Bars",5.57964601769912,3.84070796460177
"23","-EctXOb3B7T177jGYUhjVA","Boulders On Broadway",-111.948,33.4076,"Tempe",256,"Nightlife",4.92477876106195,3.84070796460177
"24","-gefwOTDqW9HWGDvWBPSMQ","Seamus McCaffrey's",-112.074,33.4505,"Phoenix",193,"Bars",4.64071856287425,3.59281437125748
"25","-gefwOTDqW9HWGDvWBPSMQ","Seamus McCaffrey's",-112.074,33.4505,"Phoenix",193,"Nightlife",4.24251497005988,3.59281437125748
"26","-h-q6zTIdPlkz9BDP11sBg","Seasons 52",-112.027,33.5102,"Phoenix",299,"Bars",3.18253968253968,4.27777777777778
"27","-h-q6zTIdPlkz9BDP11sBg","Seasons 52",-112.027,33.5102,"Phoenix",299,"Nightlife",5.34126984126984,4.27777777777778
"28","-HSVYFf0h868QQnLMHZWNw","Hampton Inn",-112.236,33.6357,"Peoria",7,"Hotels",-0.5,4
"29","-KcEUiwXi4uHoa6VV6KMuA","Ideal Image",-111.925,33.6466,"Scottsdale",12,"Doctors",4,3.66666666666667
"30","-KzyOiFK4SM9I1vmuTSsuA","Fresh & Easy",-111.98,33.3199,"Phoenix",16,"Grocery",4.85714285714286,3.42857142857143
