"","business_id","name","longitude","latitude","city","review_count","averageSentimentScore","averageRating"
"1","SiwN7f0N4bs4ZtPc4yPgiA","Palazzo",-112.074,33.4561,"Phoenix",17,1.25,2.75
"2","45puCRQ6Vh_IIAy7kkfFDQ","Majerle's Sports Grill",-112.071,33.4485,"Phoenix",170,3.72602739726027,3.21917808219178
"3","j8nyAaN_w5t6wYv-ni23sg","Coach & Willies",-112.07,33.4439,"Phoenix",77,2.85294117647059,3.05882352941176
"4","5XIvwfbIa-vuFEkkeCQ6kQ","Jackson's On 3rd",-112.07,33.445,"Phoenix",10,0,2.25
"5","qsWxbgQwuomXvMseg23DGg","Hooters",-112.069,33.4526,"Phoenix",83,2.37931034482759,2.6551724137931
"6","wki-Qlp3OWgH0XtZ-Jz_WQ","Duck & Decanter",-112.073,33.4484,"Phoenix",43,3.83333333333333,4.11111111111111
"7","muCl5p-9ut1sY0aKeUeRhw","Cheuvront",-112.075,33.4632,"Phoenix",186,6.48780487804878,3.60975609756098
"8","oCA2OZcd_Jo_ggVmUx3WVw","Alice Cooper'stown",-112.072,33.4448,"Phoenix",335,4.11764705882353,3.44117647058824
"9","JR95uaM82xBUIZ-kQ785iA","Bar Bianco",-112.066,33.4494,"Phoenix",57,5.6,4.4
"10","c6sTwXAwIAgf2YQtA4ZWHg","Cash Inn Country",-112.036,33.4658,"Phoenix",23,5.1,4.3
"11","0VpsHbGLHDVKIKAi0ZliyQ","Karamba Nightclub",-112.045,33.4659,"Phoenix",14,0.5,3
"12","JwjDSrMrKmHUXYqoIvTgUA","Royale Lounge",-112.048,33.4732,"Phoenix",17,2.71428571428571,4.85714285714286
"13","6gVX9y8rhF5WosQDb6yQXw","Baja Red's Cantina",-111.971,33.4664,"Phoenix",5,3.5,4
"14","hzUOqxpcnYYBgLlrgvjQYQ","Applebee's",-111.986,33.4761,"Phoenix",58,1.79166666666667,2.41666666666667
"15","3xEB9FyFXolq1b_Qn_BFtg","George & Dragon Restaurant",-112.074,33.4977,"Phoenix",248,4.01923076923077,3.74038461538462
"16","cjUmPLRT43wN9Z87A9BOpg","Applebee's",-112.073,33.5096,"Phoenix",53,3.28571428571429,2.95238095238095
"17","VC0VbRhQqvXpolK3pFuZPw","HB Hanratty's",-112.066,33.5092,"Phoenix",48,2.73684210526316,3.68421052631579
"18","3UMcsN9IjoeV8JZvC4apag","SunUp Brewing Co",-112.069,33.5094,"Phoenix",225,6.28260869565217,3.70652173913043
"19","hKB8OTUVIYLlDVWqFg8lnw","Cruisin' 7th",-112.065,33.4904,"Phoenix",12,0,2.6
"20","3CSaqRNvYg7ZdN2zwxwzVw","Christo's Ristorante",-112.065,33.5298,"Phoenix",69,5.30769230769231,4.03846153846154
"21","_GS1R0LTwr6h8rMWY_8U9Q","Pomeroy's",-112.065,33.5176,"Phoenix",31,2.71428571428571,3.07142857142857
"22","lF1xl8uiYRSLCibhb31sew","Plazma",-112.049,33.4877,"Phoenix",11,2,3.75
"23","eT-7JjVWhRnkeY2UwXwUMw","Friends",-112.059,33.4948,"Phoenix",10,4.75,4.5
"24","lLI8ObL8aCVbkrrtAW0EHw","Apollo's Lounge",-112.065,33.5218,"Phoenix",31,2.75,3.58333333333333
"25","7srDFwPPnzBaQoPW55Dc8Q","Roscoes On Seventh",-112.065,33.5027,"Phoenix",37,2.76470588235294,3.23529411764706
"26","s8KRwTTrQDSKrS3hOjwYLw","CJ's Talley's Pub",-112.047,33.5245,"Phoenix",26,4.375,4.375
"27","ntJAKLAq0cXzzdFgPoo0Iw","Harvey's Wineburger",-112.048,33.5079,"Phoenix",100,3.34883720930233,3.48837209302326
"28","Pfb6VOIiroqDWOebfgWGPQ","Phoenix City Grille",-112.048,33.5227,"Phoenix",214,7.18181818181818,4.15909090909091
"29","HIiVx2mseVWKtx8TKfWC_A","Duck & Decanter",-112.047,33.5092,"Phoenix",160,6.09230769230769,4.09230769230769
"30","mgllPJA6NQXlJurFWAkqQg","Swizzle Inn",-112.047,33.5232,"Phoenix",75,3.17647058823529,4.02941176470588
"31","wrmZqOF6YAE6Dw-QWAoMLQ","Angelo's Lounge",-112.048,33.4912,"Phoenix",3,-1,4
"32","CqhsIZ7TzCfJTrZqg5-gqQ","Armadillo Grill",-112.041,33.5094,"Phoenix",171,4.71014492753623,3.91304347826087
"33","peA3F-PnIfijYr8HuG-A-Q","MercBar",-112.028,33.5087,"Phoenix",135,4.33333333333333,3.78947368421053
"34","C37jakxE5TX6ccAfjp2kJA","Nixon's",-112.027,33.5094,"Phoenix",5,2,4
"35","YSQnaRE4Le6CaonZICFyVQ","Chili's Grill and Bar",-112.037,33.5093,"Phoenix",3,-1,2.5
"36","CkQKNhlm8DOzxbXm_zb3bg","The Vintage Market",-112.029,33.5094,"Phoenix",3,4,3
"37","rVUEZpHQfWI_3kt0lBwaxQ","Keegan's Grill",-112.015,33.51,"Phoenix",75,4.45714285714286,3.68571428571429
"38","vvA3fbps4F9nGlAEYKk_sA","Avanti",-112.022,33.4805,"Phoenix",91,6.19444444444444,3.86111111111111
"39","PuHucejs4LG3hSXnrwi9-g","Sophie's French Bistro",-112.031,33.4878,"Phoenix",43,6.88888888888889,3.61111111111111
"40","HNXcjXTz_Ogsdpm0Kikhrg","Kat's",-112.032,33.4945,"Phoenix",8,6,4
"41","yb17xHvhDJthJGS10uhFeQ","Ice House Tavern",-112,33.4804,"Phoenix",50,4.21052631578947,4.47368421052632
"42","4f1b_-ceB9S3olRqGujh6w","Pat Murphy's",-112.012,33.4802,"Phoenix",8,2.25,4.25
"43","SDwYQ6eSu1htn8vHWv128g","Postino Arcadia",-111.996,33.5021,"Phoenix",995,5.22857142857143,4.47619047619048
"44","qz4ZOcv-840UjfCEYI4qZg","Jt's Bar & Grill",-111.977,33.4942,"Phoenix",70,3.76666666666667,4.03333333333333
"45","qOE7oX1lIVUJUYvSwFy5Wg","The Great Escape Lounge",-111.99,33.495,"Phoenix",6,-1,4
"46","4vZZjr6IZAk4riT0DB8MbQ","Dilly Dally Lounge",-112.002,33.4952,"Phoenix",28,0.928571428571429,3.5
"47","fuoUja6AXOaOikyLaKOrNw","Ox Sports Bar",-112.012,33.482,"Phoenix",3,3,3
"48","RIeWXLMHZQlYprYt1x2f1w","Ole Brass Rail",-112,33.4808,"Phoenix",40,2.78947368421053,3.36842105263158
"49","rwT9wCyXNATA36yqcb4JSg","Big Daddy's Sports Lounge",-112.052,33.5831,"Phoenix",21,4.125,4.125
"50","EUXT1vSFWaiD_BFmFK8rBg","Bobby D's Restaurant & Lounge",-112.052,33.5826,"Phoenix",13,2.8,3.6
"51","Ypx_idDaRN0dOrE8LXvruw","4 Kings North",-112.057,33.5532,"Phoenix",4,-1,3
"52","s5HAJmxNrWjQv_MNLHAMFQ","DO Drop In",-112.065,33.5725,"Phoenix",3,0,4
"53","tC_T3DykMOlLV4p7iiRDWw","Dizzy's Sports Pub",-112.065,33.5402,"Phoenix",13,2.75,3.5
"54","F-ykHfGY9lWr12OJ_Ofy7A","Gallagher's Sports Grill",-112.047,33.5466,"Phoenix",64,2.72,3
"55","cTyBfWfmgL3vgRetyfmtyA","Sport Peppers Grill",-112.048,33.6415,"Phoenix",10,1.75,2
"56","kvxrjOmicwb2njvXOJsZRw","Ammaccapane's Restaurant & Sports Bar",-112.067,33.6094,"Phoenix",21,1.55555555555556,3.22222222222222
"57","jq_YnMQjcArdBWuwRospFg","Salute Ristorante Italiano",-112.066,33.6063,"Phoenix",55,3.44444444444444,3.33333333333333
"58","vUmCtldBjn_AuHW4tg2LZQ","Larry's Place",-112.03,33.6679,"Phoenix",9,1.33333333333333,4.33333333333333
"59","PkBkqQpAoeX3Ogo5HBthQg","Gallagher's",-112.064,33.6549,"Phoenix",35,4,3.6
"60","f_leeIRar8uNCkk5sAmHRQ","Blooze",-112.013,33.5959,"Phoenix",35,3.21428571428571,4.21428571428571
"61","gVgJIBQDXHtgIS7p7uDa6Q","Playa Bar and Grill",-112.012,33.5819,"Phoenix",8,2.5,3.5
"62","JImJictLIE48_O1z-l2TGw","Wagon Yard",-112.025,33.64,"Phoenix",40,3,3.25
"63","8lMQrVQU-5iG9UA4KvcnsQ","Loft Again",-112.03,33.6237,"Phoenix",13,2.66666666666667,3.5
"64","vFJmFFfPVhHkC3bWOeZnNA","Casey Jones Grill",-112.02,33.6406,"Phoenix",66,4.25,3.89285714285714
"65","hNVcBhJSD5HyLKMf_Z7TaA","Islands Restaurant",-111.978,33.6041,"Phoenix",44,4.21052631578947,3.31578947368421
"66","-xLwGUmmyKgsTtFOOXzjeg","Brigett's Last Laugh",-112.031,33.643,"Phoenix",75,4,3.61111111111111
"67","gOlJQuE3WYeMgXXDKYfdeg","Whiskey River Saloon",-112.013,33.6286,"Phoenix",32,2.8,3.86666666666667
"68","VpQZo6KV8CqkIG_MRQ3jiA","Brennan's Pub & Grub",-112.006,33.6413,"Phoenix",28,2.41666666666667,2.91666666666667
"69","1rOQVIlUlLBcf1EDj_n4Vw","Paradise Lounge",-111.982,33.5992,"Phoenix",31,3.33333333333333,3.77777777777778
"70","E-_PkZNDuYxW1zs4XFlVmw","Greenway Village Cocktail Lounge",-112.015,33.6247,"Phoenix",19,2.71428571428571,4
"71","0d5xLrgemC6jjCe-rofCiw","Eddie's Tavern",-112.013,33.5983,"Phoenix",9,3.25,3.25
"72","W_ZcIQiI6waQu1UZxXnKbg","RJ's Sports Grill",-112.014,33.5973,"Phoenix",3,1.5,4.5
"73","avvNnkpGpGIS-2CClsduXA","Rimrock Bar & Grille",-111.981,33.4251,"Phoenix",13,3.66666666666667,3
"74","aiFo19hI2ulx47oMdjuqfw","Rodehouse Restaurant",-112.029,33.4253,"Phoenix",12,4.2,3.2
